kisosuchi_03	道路基礎数値台帳１　ブロック	調書名=道路基礎数値台帳１ブロック
kisosuchi_04	道路基礎数値台帳１　道路種別整理番号順	調書名=道路基礎数値台帳１－道路種別整理番号順
kisosuchi_05	道路基礎数値台帳２　ブロック	調書名=道路基礎数値台帳２ブロック
kisosuchi_06	道路基礎数値台帳２　道路種別整理番号順	調書名=道路基礎数値台帳２－道路種別整理番号順
kokkosho_01	第１号様式（総括）	調書名=道路施設現況調査第１号様式（総括）
kokkosho_02	第２号様式（独立専用自歩道）	調書名=道路施設現況調査第２号様式（独立専用自歩道）
kokkosho_03	第３号様式（部分自歩道）	調書名=道路施設現況調査第３号様式（部分自歩道）
kokkosho_04	第５号様式（橋梁）	調書名=道路施設現況調査第５号様式（橋梁）
kokkosho_05	第５＿２号様式（橋梁）	調書名=道路施設現況調査第５＿２号様式（橋梁）
kokkosho_06	第６号様式（トンネル）	調書名=道路施設現況調査第６号様式（トンネル）
kokkosho_07	第７号様式（踏切）	調書名=道路施設現況調査第７号様式（踏切）
kokkosho_08	第１号様式（総括）北海道仕様	調書名=道路施設現況調査第１号様式（総括）北海道仕様
kokkosho_09	第１号様式（総括）－路線別	調書名=道路施設現況調査第１号様式（総括）－路線別
kokkosho_10	第２号様式（独立専用自歩道）北海道仕様	調書名=道路施設現況調査第２号様式（独立専用自歩道）北海道仕様
kokkosho_11	第３号様式（部分自歩道）－路線別	調書名=道路施設現況調査第３号様式（部分自歩道）－路線別
kokkosho_12	第４号様式（有料道路）	調書名=道路施設現況調査第４号様式（有料道路）
kokkosho_13	橋梁現況総括表（国土交通省－７）	調書名=橋梁現況総括表（国土交通省－７）
kokkosho_14	橋梁現況総括表　男鹿仕様（国土交通省－７）	調書名=橋梁現況総括表男鹿仕様（国土交通省－７）
kokuji_01	区域決定　道路部－最大最小－総延長	調書名=告示調書（区域決定）－道路部－最大最小－総延長
kokuji_02	区域変更　道路部－最大最小－総延長	調書名=告示調書（区域変更）－道路部－最大最小－総延長
kokuji_03	供用開始－実延長	調書名=告示調書（供用開始）－実延長
kokuji_04	区域変更調書	調書名=区域変更調書
kokuji_henkou_01	区域変更　道路部－最大最小－総延長	調書名=告示調書（区域変更）－道路部－最大最小－総延長
kokuji_henkou_02	区域変更　道路敷－最大最小－実延長	調書名=告示調書（区域変更）－道路敷－最大最小－実延長
kokuji_henkou_03	区域変更　道路敷－最大最小－総延長	調書名=告示調書（区域変更）－道路敷－最大最小－総延長
kokuji_henkou_04	区域変更　道路敷－平均－実延長	調書名=告示調書（区域変更）－道路敷－平均－実延長
kokuji_henkou_05	区域変更　道路敷－平均－総延長	調書名=告示調書（区域変更）－道路敷－平均－総延長
kokuji_henkou_06	区域変更　道路部－最大最小－実延長	調書名=告示調書（区域変更）－道路部－最大最小－実延長
kokuji_henkou_07	区域変更　道路部－平均－実延長	調書名=告示調書（区域変更）－道路部－平均－実延長
kokuji_henkou_08	区域変更　道路部－平均－総延長	調書名=告示調書（区域変更）－道路部－平均－総延長
kokuji_henkou_09	区域変更　米沢仕様	調書名=告示調書（区域変更）米沢仕様
kokuji_kettei_01	区域決定　道路部－最大最小－総延長	調書名=告示調書（区域決定）－道路部－最大最小－総延長
kokuji_kettei_02	区域決定　道路敷－最大最小－実延長	調書名=告示調書（区域決定）－道路敷－最大最小－実延長
kokuji_kettei_03	区域決定　道路敷－最大最小－総延長	調書名=告示調書（区域決定）－道路敷－最大最小－総延長
kokuji_kettei_04	区域決定　道路敷－平均－実延長	調書名=告示調書（区域決定）－道路敷－平均－実延長
kokuji_kettei_05	区域決定　道路敷－平均－総延長	調書名=告示調書（区域決定）－道路敷－平均－総延長
kokuji_kettei_06	区域決定　道路部－最大最小－実延長	調書名=告示調書（区域決定）－道路部－最大最小－実延長
kokuji_kettei_07	区域決定　道路部－平均－実延長	調書名=告示調書（区域決定）－道路部－平均－実延長
kokuji_kettei_08	区域決定　道路部－平均－総延長	調書名=告示調書（区域決定）－道路部－平均－総延長
kokuji_kettei_09	区域決定　米沢仕様	調書名=告示調書（区域決定）米沢仕様
kokuji_kyouyou_01	供用開始　実延長	調書名=告示調書（供用開始）－実延長
kokuji_kyouyou_02	供用開始　総延長	調書名=告示調書（供用開始）－総延長
kokuji_kyouyou_03	供用開始　米沢仕様	調書名=告示調書（供用開始）米沢仕様
koufuzei_01	道路基礎数値台帳１	調書名=道路基礎数値台帳１
koufuzei_02	道路基礎数値台帳２	調書名=道路基礎数値台帳２
koufuzei_03	橋梁基礎数値台帳	調書名=橋梁基礎数値台帳
koufuzei_04	異動調書	調書名=道路橋梁調書（異動調書）
koufuzei_05	異動調書一宮大宮	調書名=道路橋梁調書（異動調書一宮大宮）
koufuzei_06	道路橋梁調書	調書名=道路橋梁調書
koufuzei_07	道路橋梁総括表	調書名=道路橋梁総括表
koufuzei_08	県４表　道路橋りょう総括異動調書	調書名=道路橋りょう総括異動調書
koufuzei_09	県４表　道路橋りょう費の測定単位の数値等に関する調	調書名=道路橋りょう費の測定単位の数値等に関する調
koufuzei_10	県４表　道路橋りょう費の測定単位の増減事由調	調書名=道路橋りょう費の測定単位の増減事由調
